Category,EnergyBefore,ValueBefore,EnergyAfter,ValueAfter,H,Cx,Rx,Ry,Rz
last,0.923375226375443,-0.923375226375443,0.923375226375443,-0.923375226375443,4,1,0,2,0
best,0.9955458047989129,-0.9955458047989129,0.9955458047989129,-0.9955458047989129,4,1,1,1,0
