Category,EnergyBefore,ValueBefore,EnergyAfter,ValueAfter,H,Cx,Rx,Ry,Rz
last,-7.655927423732706,7.655927423732706,-7.8221846618423205,7.8221846618423205,9,4,10,4,0
best,-7.6862177487188275,7.6862177487188275,-7.795093459177456,7.795093459177456,8,4,7,5,0
