Category,EnergyBefore,ValueBefore,EnergyAfter,ValueAfter,H,Cx,Rx,Ry,Rz
last,0.056792848281371065,-0.056792848281371065,-0.5854676637000333,0.5854676637000333,4,0,2,0,1
best,-0.7515143353876916,0.7515143353876916,-0.7602658884540164,0.7602658884540164,4,1,3,1,1
