Category,EnergyBefore,ValueBefore,EnergyAfter,ValueAfter,H,Cx,Rx,Ry,Rz
last,-7.444407357783131,7.444407357783131,-7.739248573174264,7.739248573174264,10,1,9,2,0
best,-7.564895282323678,7.564895282323678,-7.739248580117422,7.739248580117422,10,1,10,5,0
