Category,EnergyBefore,ValueBefore,EnergyAfter,ValueAfter,H,Cx,Rx,Ry,Rz
last,0.013513513513514097,-0.013513513513514097,0.013513513513514097,-0.013513513513514097,4,2,0,0,0
best,0.013513513513513709,-0.013513513513513709,0.013513513513513709,-0.013513513513513709,4,1,0,0,0
