Category,EnergyBefore,ValueBefore,EnergyAfter,ValueAfter,H,Cx,Rx,Ry,Rz
last,-74.7149375678977,74.7149375678977,-74.75219656760245,74.75219656760245,7,0,1,0,0
best,-74.96357659512816,74.96357659512816,-75.00324488752352,75.00324488752352,6,0,2,0,0
