Category,EnergyBefore,ValueBefore,EnergyAfter,ValueAfter,H,Cx,Rx,Ry,Rz
last,0.013513513513514097,-0.013513513513514097,0.013513513513514097,-0.013513513513514097,4,1,0,0,1
best,0.002999625851677956,-0.002999625851677956,1.7813914232611694e-09,-1.7813914232611694e-09,4,0,1,0,1
