Category,EnergyBefore,ValueBefore,EnergyAfter,ValueAfter,H,Cx,Rx,Ry,Rz
last,-0.7104895496089226,0.7104895496089226,-0.7602663944211503,0.7602663944211503,2,1,1,0,0
best,-1.0569250992380066,1.0569250992380066,-1.1173490116823366,1.1173490116823366,2,0,2,1,0
