Category,EnergyBefore,ValueBefore,EnergyAfter,ValueAfter,H,Cx,Rx,Ry,Rz
last,-6.682299039811154,6.682299039811154,-6.838758791497226,6.838758791497226,9,0,1,0,0
best,-7.257924426378528,7.257924426378528,-7.370636642779956,7.370636642779956,8,0,2,0,0
