Category,EnergyBefore,ValueBefore,EnergyAfter,ValueAfter,H,Cx,Rx,Ry,Rz
last,-1.0288842931467133,1.0288842931467133,-1.1173490311810856,1.1173490311810856,2,0,2,1,0
best,-1.105853583136573,1.105853583136573,-1.1173467139562903,1.1173467139562903,2,0,3,2,0
