Category,EnergyBefore,ValueBefore,EnergyAfter,ValueAfter,H,Cx,Rx,Ry,Rz
last,-7.93771773960051,7.93771773960051,-7.952650025436627,7.952650025436627,0,0,1,0,0
best,-7.9526500454457425,7.9526500454457425,-7.9526500454457425,7.9526500454457425,0,0,0,2,0
