Category,EnergyBefore,ValueBefore,EnergyAfter,ValueAfter,H,Cx,Rx,Ry,Rz
last,-74.87936888205803,74.87936888205803,-74.89349980661717,74.89349980661717,4,0,1,0,1
best,-74.98003725393035,74.98003725393035,-74.98003725393035,74.98003725393035,6,0,0,0,3
