Category,EnergyBefore,ValueBefore,EnergyAfter,ValueAfter,H,Cx,Rx,Ry,Rz
last,-7.59793191562949,7.59793191562949,-7.789380790385661,7.789380790385661,10,1,9,2,3
best,-7.719407398501175,7.719407398501175,-7.952650009837256,7.952650009837256,10,2,11,2,2
