Category,EnergyBefore,ValueBefore,EnergyAfter,ValueAfter,H,Cx,Rx,Ry,Rz
last,-1.0563740620394468,1.0563740620394468,-1.1173455706139734,1.1173455706139734,2,0,2,0,0
best,-1.091865511339402,1.091865511339402,-1.117347952322315,1.117347952322315,2,0,2,0,0
