Category,EnergyBefore,ValueBefore,EnergyAfter,ValueAfter,H,Cx,Rx,Ry,Rz
last,-7.689622500151622,7.689622500151622,-7.822184789328951,7.822184789328951,10,1,8,3,3
best,-7.754533233924829,7.754533233924829,-7.841592144189695,7.841592144189695,10,2,10,2,4
