Category,EnergyBefore,ValueBefore,EnergyAfter,ValueAfter,H,Cx,Rx,Ry,Rz
last,0.013513513513513986,-0.013513513513513986,0.01351351351351393,-0.01351351351351393,4,2,0,0,0
best,0.4819568188801843,-0.4819568188801843,0.04169845169817593,-0.04169845169817593,4,1,0,1,1
