Category,EnergyBefore,ValueBefore,EnergyAfter,ValueAfter,H,Cx,Rx,Ry,Rz
last,-1.0492224154300924,1.0492224154300924,-1.1173490144982117,1.1173490144982117,1,1,2,1,0
best,-1.1147806536426608,1.1147806536426608,-1.117349010399106,1.117349010399106,2,2,2,3,0
