Category,EnergyBefore,ValueBefore,EnergyAfter,ValueAfter,H,Cx,Rx,Ry,Rz
last,0.9622510896305879,-0.9622510896305879,0.9622510896305879,-0.9622510896305879,4,0,1,0,0
best,0.9999893672876484,-0.9999893672876484,0.9999893672876484,-0.9999893672876484,4,0,1,0,1
