Category,EnergyBefore,ValueBefore,EnergyAfter,ValueAfter,H,Cx,Rx,Ry,Rz
last,0.05059033563394533,-0.05059033563394533,0.013513530547794694,-0.013513530547794694,4,1,0,1,0
best,9.397843348912804e-06,-9.397843348912804e-06,2.0915984016989242e-07,-2.0915984016989242e-07,4,1,1,0,1
