Category,EnergyBefore,ValueBefore,EnergyAfter,ValueAfter,H,Cx,Rx,Ry,Rz
last,-6.383482028062481,6.383482028062481,-6.384026488101297,6.384026488101297,9,0,0,1,0
best,-7.329489864624401,7.329489864624401,-7.347047527008502,7.347047527008502,8,0,2,0,0
