Category,EnergyBefore,ValueBefore,EnergyAfter,ValueAfter,H,Cx,Rx,Ry,Rz
last,-6.695681221282889,6.695681221282889,-6.7426987919836945,6.7426987919836945,9,0,1,0,0
best,-7.1513177018341185,7.1513177018341185,-7.246076521458523,7.246076521458523,8,0,2,0,0
