Category,EnergyBefore,ValueBefore,EnergyAfter,ValueAfter,H,Cx,Rx,Ry,Rz
last,-74.86811631964463,74.86811631964463,-74.86811631964463,74.86811631964463,5,0,0,0,2
best,-74.93531981242114,74.93531981242114,-74.93537574462866,74.93537574462866,4,1,0,0,1
