Category,EnergyBefore,ValueBefore,EnergyAfter,ValueAfter,H,Cx,Rx,Ry,Rz
last,-1.1041032031892826,1.1041032031892826,-1.1173489695445114,1.1173489695445114,2,1,2,1,0
best,-1.1074492326251533,1.1074492326251533,-1.117348928677915,1.117348928677915,2,1,2,2,1
