Category,EnergyBefore,ValueBefore,EnergyAfter,ValueAfter,H,Cx,Rx,Ry,Rz
last,-7.3751493312803404,7.3751493312803404,-7.3782530425282395,7.3782530425282395,6,0,0,1,0
best,-7.611846579926624,7.611846579926624,-7.611846579926624,7.611846579926624,4,0,0,0,0
