Category,EnergyBefore,ValueBefore,EnergyAfter,ValueAfter,H,Cx,Rx,Ry,Rz
last,0.9346645654712499,-0.9346645654712499,0.9346645654712499,-0.9346645654712499,4,0,0,0,2
best,0.999469058991708,-0.999469058991708,0.999469058991708,-0.999469058991708,4,1,1,0,0
