Category,EnergyBefore,ValueBefore,EnergyAfter,ValueAfter,H,Cx,Rx,Ry,Rz
last,-0.7059744891968335,0.7059744891968335,-0.8196165345004499,0.8196165345004499,3,0,2,1,0
best,-1.0050563957446086,1.0050563957446086,-1.1173490112345743,1.1173490112345743,3,1,3,1,0
