Category,EnergyBefore,ValueBefore,EnergyAfter,ValueAfter,H,Cx,Rx,Ry,Rz
last,0.9790218795575222,-0.9790218795575222,0.9790218795575222,-0.9790218795575222,4,0,2,0,0
best,0.9999961084872038,-0.9999961084872038,0.9999961084872038,-0.9999961084872038,4,1,1,0,1
