Category,EnergyBefore,ValueBefore,EnergyAfter,ValueAfter,H,Cx,Rx,Ry,Rz
last,0.8830937893412105,-0.8830937893412105,0.8830937893412105,-0.8830937893412105,4,2,2,0,2
best,0.9994297229761216,-0.9994297229761216,0.9994297229761216,-0.9994297229761216,3,2,1,0,0
