Category,EnergyBefore,ValueBefore,EnergyAfter,ValueAfter,H,Cx,Rx,Ry,Rz
last,-74.85085580394042,74.85085580394042,-74.8754593577166,74.8754593577166,5,1,1,0,1
best,-74.98194580627626,74.98194580627626,-75.00324510118328,75.00324510118328,6,0,2,1,0
