Category,EnergyBefore,ValueBefore,EnergyAfter,ValueAfter,H,Cx,Rx,Ry,Rz
last,-74.89674726537044,74.89674726537044,-75.05947714531503,75.05947714531503,8,1,5,1,1
best,-74.89674726537044,74.89674726537044,-75.05947714531503,75.05947714531503,8,1,5,1,1
