Category,EnergyBefore,ValueBefore,EnergyAfter,ValueAfter,H,Cx,Rx,Ry,Rz
last,-74.79564744081173,74.79564744081173,-74.87386347792123,74.87386347792123,8,1,3,4,3
best,-74.88335712990877,74.88335712990877,-74.9718968365083,74.9718968365083,7,1,3,6,5
