Category,EnergyBefore,ValueBefore,EnergyAfter,ValueAfter,H,Cx,Rx,Ry,Rz
last,-74.794756060259,74.794756060259,-74.89821833529764,74.89821833529764,8,0,5,1,2
best,-74.94066758253726,74.94066758253726,-74.98214538794376,74.98214538794376,8,0,5,2,1
